,chemical_formula_descriptive
826,Al3CoIrNiZr3
827,Al3CoNiPdZr3
828,Al3CoNiPtZr3
829,Al3CoNiRhZr3
830,Al3CuDyEr2Ge2
831,Al3CuDyGd2Ge2
832,Al3CuDyGe2Ho2
833,Al3CuDyGe2Lu2
834,Al3CuDyGe2Sc2
835,Al3CuDyGe2Tb2
836,Al3CuDyGe2Tm2
837,Al3CuDyGe2Y2
838,Al3CuDyGe2Yb2
839,Al3CuDy2ErGe2
840,Al3CuDy2GdGe2
841,Al3CuDy2Ge2Ho
842,Al3CuDy2Ge2Lu
843,Al3CuDy2Ge2Sc
844,Al3CuDy2Ge2Tb
845,Al3CuDy2Ge2Tm
846,Al3CuDy2Ge2Y
847,Al3CuDy2Ge2Yb
848,Al3CuErGd2Ge2
849,Al3CuErGe2Ho2
850,Al3CuErGe2Lu2
851,Al3CuErGe2Sc2
852,Al3CuErGe2Tb2
853,Al3CuErGe2Tm2
854,Al3CuErGe2Y2
855,Al3CuErGe2Yb2
856,Al3CuEr2GdGe2
857,Al3CuEr2Ge2Ho
858,Al3CuEr2Ge2Lu
859,Al3CuEr2Ge2Sc
860,Al3CuEr2Ge2Tb
861,Al3CuEr2Ge2Tm
862,Al3CuEr2Ge2Y
863,Al3CuEr2Ge2Yb
864,Al3CuEr3GeSi
865,Al3CuGdGe2Ho2
866,Al3CuGdGe2Sc2
867,Al3CuGdGe2Tb2
868,Al3CuGdGe2Tm2
869,Al3CuGdGe2Y2
870,Al3CuGdGe2Yb2
871,Al3CuGd2Ge2Ho
872,Al3CuGd2Ge2Lu
873,Al3CuGd2Ge2Sc
874,Al3CuGd2Ge2Tb
875,Al3CuGd2Ge2Tm
876,Al3CuGd2Ge2Y
877,Al3CuGd2Ge2Yb
878,Al3CuGeHo3Ni
879,Al3CuGeSiTm3
880,Al3CuGe2HoLu2
881,Al3CuGe2HoSc2
882,Al3CuGe2HoTb2
883,Al3CuGe2HoTm2
884,Al3CuGe2HoY2
885,Al3CuGe2HoYb2
886,Al3CuGe2Ho2Lu
887,Al3CuGe2Ho2Sc
888,Al3CuGe2Ho2Tb
889,Al3CuGe2Ho2Tm
890,Al3CuGe2Ho2Y
891,Al3CuGe2Ho2Yb
892,Al3CuGe2LuSc2
893,Al3CuGe2LuTb2
894,Al3CuGe2LuTm2
895,Al3CuGe2LuYb2
896,Al3CuGe2Lu2Sc
897,Al3CuGe2Lu2Tm
898,Al3CuGe2ScTb2
899,Al3CuGe2ScTm2
900,Al3CuGe2ScY2
901,Al3CuGe2ScYb2
902,Al3CuGe2Sc2Tb
903,Al3CuGe2Sc2Tm
904,Al3CuGe2Sc2Y
905,Al3CuGe2Sc2Yb
906,Al3CuGe2TbTm2
907,Al3CuGe2TbY2
908,Al3CuGe2TbYb2
909,Al3CuGe2Tb2Tm
910,Al3CuGe2Tb2Y
911,Al3CuGe2Tb2Yb
912,Al3CuGe2TmY2
913,Al3CuGe2TmYb2
914,Al3CuGe2Tm2Y
915,Al3CuGe2Tm2Yb
916,Al3CuGe2YYb2
917,Al3CuGe2Y2Yb
918,Al3CuHf3IrRh
919,Al3CuHo3NiSi
920,Al3CuIrNiZr3
921,Al3CuNiPdY3
922,Al3CuNiPdZr3
923,Al3CuNiPtZr3
924,Al3CuNiRhZr3
925,Al3Cu2DyEr2Ni
926,Al3Cu2DyGd2Ni
927,Al3Cu2DyHf2Ni
928,Al3Cu2DyHo2Ni
929,Al3Cu2DyNd2Ni
930,Al3Cu2DyNiSc2
931,Al3Cu2DyNiTm2
932,Al3Cu2DyNiY2
933,Al3Cu2DyNiZr2
934,Al3Cu2Dy2ErNi
935,Al3Cu2Dy2GdNi
936,Al3Cu2Dy2HfNi
937,Al3Cu2Dy2HoNi
938,Al3Cu2Dy2NdNi
939,Al3Cu2Dy2NiSc
940,Al3Cu2Dy2NiTm
941,Al3Cu2Dy2NiY
942,Al3Cu2Dy2NiZr
943,Al3Cu2ErGd2Ni
944,Al3Cu2ErHf2Ni
945,Al3Cu2ErHo2Ni
946,Al3Cu2ErNd2Ni
947,Al3Cu2ErNiSc2
948,Al3Cu2ErNiTm2
949,Al3Cu2ErNiY2
950,Al3Cu2ErNiZr2
951,Al3Cu2Er2GdNi
952,Al3Cu2Er2HfNi
953,Al3Cu2Er2HoNi
954,Al3Cu2Er2NdNi
955,Al3Cu2Er2NiSc
956,Al3Cu2Er2NiTm
957,Al3Cu2Er2NiY
958,Al3Cu2Er2NiZr
959,Al3Cu2GdHf2Ni
960,Al3Cu2GdHo2Ni
961,Al3Cu2GdNd2Ni
962,Al3Cu2GdNiSc2
963,Al3Cu2GdNiTm2
964,Al3Cu2GdNiY2
965,Al3Cu2GdNiZr2
966,Al3Cu2Gd2HfNi
967,Al3Cu2Gd2HoNi
968,Al3Cu2Gd2NdNi
969,Al3Cu2Gd2NiSc
970,Al3Cu2Gd2NiTm
971,Al3Cu2Gd2NiY
972,Al3Cu2Gd2NiZr
973,Al3Cu2HfHo2Ni
974,Al3Cu2HfNd2Ni
975,Al3Cu2HfNiSc2
976,Al3Cu2HfNiTm2
977,Al3Cu2HfNiY2
978,Al3Cu2HfNiZr2
979,Al3Cu2Hf2HoNi
980,Al3Cu2Hf2NdNi
981,Al3Cu2Hf2NiSc
982,Al3Cu2Hf2NiTm
983,Al3Cu2Hf2NiY
984,Al3Cu2Hf2NiZr
985,Al3Cu2HoNd2Ni
986,Al3Cu2HoNiSc2
987,Al3Cu2HoNiTm2
988,Al3Cu2HoNiY2
989,Al3Cu2HoNiZr2
990,Al3Cu2Ho2NdNi
991,Al3Cu2Ho2NiSc
992,Al3Cu2Ho2NiTm
993,Al3Cu2Ho2NiY
994,Al3Cu2Ho2NiZr
995,Al3Cu2NdNiSc2
996,Al3Cu2NdNiTm2
997,Al3Cu2NdNiY2
998,Al3Cu2NdNiZr2
999,Al3Cu2Nd2NiSc
1000,Al3Cu2Nd2NiTm
1001,Al3Cu2Nd2NiY
1002,Al3Cu2Nd2NiZr
1003,Al3Cu2NiScTm2
1004,Al3Cu2NiScY2
1005,Al3Cu2NiScZr2
1006,Al3Cu2NiSc2Tm
1007,Al3Cu2NiSc2Y
1008,Al3Cu2NiSc2Zr
1009,Al3Cu2NiTmY2
1010,Al3Cu2NiTmZr2
1011,Al3Cu2NiTm2Y
1012,Al3Cu2NiTm2Zr
1013,Al3Cu2NiYZr2
1014,Al3Cu2NiY2Zr
1015,Al3DyEr2RhSi2
1016,Al3DyGd2RhSi2
1017,Al3DyGe2Pr2Rh
1018,Al3DyHo2RhSi2
1019,Al3DyNd2RhSi2
1020,Al3DyRhSc2Si2
1021,Al3DyRhSi2Tb2
1022,Al3DyRhSi2Tm2
1023,Al3DyRhSi2Y2
1024,Al3Dy2ErRhSi2
1025,Al3Dy2GdRhSi2
1026,Al3Dy2Ge2PrRh
1027,Al3Dy2HoRhSi2
1028,Al3Dy2NdRhSi2
1029,Al3Dy2RhScSi2
1030,Al3Dy2RhSi2Tb
1031,Al3Dy2RhSi2Tm
1032,Al3Dy2RhSi2Y
1033,Al3Dy3GeRhSi
1034,Al3Dy3GeRhSn
1035,Al3Dy3RhSiSn
1036,Al3ErGd2RhSi2
1037,Al3ErHo2RhSi2
1038,Al3ErNd2RhSi2
1039,Al3ErRhSc2Si2
1040,Al3ErRhSi2Tb2
1041,Al3ErRhSi2Tm2
1042,Al3ErRhSi2Y2
1043,Al3Er2GdRhSi2
1044,Al3Er2HoRhSi2
1045,Al3Er2LuRhSi2
1046,Al3Er2NdRhSi2
1047,Al3Er2RhScSi2
1048,Al3Er2RhSi2Tb
1049,Al3Er2RhSi2Tm
1050,Al3Er2RhSi2Y
1051,Al3GdHo2RhSi2
1052,Al3GdNd2RhSi2
1053,Al3GdRhSc2Si2
1054,Al3GdRhSi2Tb2
1055,Al3GdRhSi2Tm2
1056,Al3GdRhSi2Y2
1057,Al3Gd2HoRhSi2
1058,Al3Gd2NdRhSi2
1059,Al3Gd2RhScSi2
1060,Al3Gd2RhSi2Tb
1061,Al3Gd2RhSi2Tm
1062,Al3Gd2RhSi2Y
1063,Al3Gd3GePtSi
1064,Al3GeHo3NiSi
1065,Al3GeIrSiY3
1066,Al3GeIrSnY3
1067,Al3GeRhSiTb3
1068,Al3GeRhSnTb3
1069,Al3Ge2HoMg2Pt
1070,Al3Ge2HoNd2Pt
1071,Al3Ge2Ho2MgPt
1072,Al3Ge2Ho2NdPt
1073,Al3Ge2MgNd2Pt
1074,Al3Ge2Mg2NdPt
1075,Al3HfIr2NiSc2
1076,Al3HfIr2NiTi2
1077,Al3HfIr2NiZr2
1078,Al3HfNiRh2Zr2
1079,Al3Hf2Ir2NiSc
1080,Al3Hf2Ir2NiTi
1081,Al3Hf2Ir2NiZr
1082,Al3Hf2NiRh2Zr
1083,Al3Hf3NiPdRh
1084,Al3HoNd2RhSi2
1085,Al3HoRhSc2Si2
1086,Al3HoRhSi2Tb2
1087,Al3HoRhSi2Tm2
1088,Al3HoRhSi2Y2
1089,Al3Ho2LuRhSi2
1090,Al3Ho2NdRhSi2
1091,Al3Ho2RhScSi2
1092,Al3Ho2RhSi2Tb
1093,Al3Ho2RhSi2Tm
1094,Al3Ho2RhSi2Y
1095,Al3IrNiPdZr3
1096,Al3IrNiPtZr3
1097,Al3IrNiRhZr3
1098,Al3IrSiSnY3
1099,Al3Ir2NiScTi2
1100,Al3Ir2NiScZr2
1101,Al3Ir2NiSc2Ti
1102,Al3Ir2NiSc2Zr
1103,Al3Ir2NiTiZr2
1104,Al3Ir2NiTi2Zr
1105,Al3LuRhSc2Si2
1106,Al3NdRhSc2Si2
1107,Al3NdRhSi2Tb2
1108,Al3NdRhSi2Tm2
1109,Al3NdRhSi2Y2
1110,Al3Nd2RhScSi2
1111,Al3Nd2RhSi2Tb
1112,Al3Nd2RhSi2Tm
1113,Al3Nd2RhSi2Y
1114,Al3NiPdPtZr3
1115,Al3NiPdRhZr3
1116,Al3NiPtRhZr3
1117,Al3PdSi2TbYb2
1118,Al3PdSi2Tb2Yb
1119,Al3RhScSi2Tb2
1120,Al3RhScSi2Tm2
1121,Al3RhScSi2Y2
1122,Al3RhSc2Si2Tb
1123,Al3RhSc2Si2Tm
1124,Al3RhSc2Si2Y
1125,Al3RhSiSnTb3
1126,Al3RhSi2TbTm2
1127,Al3RhSi2TbY2
1128,Al3RhSi2Tb2Tm
1129,Al3RhSi2Tb2Y
1130,Al3RhSi2TmY2
1131,Al3RhSi2Tm2Y
1132,AsBaBiCaCd
1133,AsBaBiCaCd
1134,AsBaBiCaCd
1135,AsBaBiCaCd
1136,AsBaBiCdSr
1137,AsBaBiCdSr
1138,AsBaBiCdSr
1139,AsBaBiCdSr
1140,AsBaCaCdP
1141,AsBaCaCdP
1142,AsBaCaCdP
1143,AsBaCaCdP
1144,AsBaCdEuP
1145,AsBaCdEuP
1146,AsBaCdEuP
1147,AsBaCdEuP
1148,AsBaCdEuSb
1149,AsBaCdEuSb
1150,AsBaCdEuSb
1151,AsBaCdEuSb
1152,AsBaCdPSr
1153,AsBaCdPSr
1154,AsBaCdPSr
1155,AsBaCdPSr
1156,AsBaCdPYb
1157,AsBaCdPYb
1158,AsBaCdPYb
1159,AsBaCdPYb
1160,AsBaCdSbSr
1161,AsBaCdSbSr
1162,AsBaCdSbSr
1163,AsBaCdSbSr
1164,AsBaCdSbYb
1165,AsBaCdSbYb
1166,AsBaCdSbYb
1167,AsBaCdSbYb
1168,AsBiCaCdSr
1169,AsBiCaCdSr
1170,AsBiCaCdSr
1171,AsBiCaCdSr
1172,AsBiKRbZn2
1173,AsCaCdEuP
1174,AsCaCdEuP
1175,AsCaCdEuP
1176,AsCaCdEuP
1177,AsCaCdPSr
1178,AsCaCdPSr
1179,AsCaCdPSr
1180,AsCaCdPSr
1181,AsCaCdPYb
1182,AsCaCdPYb
1183,AsCaCdPYb
1184,AsCaCdPYb
1185,AsCaPSrZn
1186,AsCaPSrZn
1187,AsCaPSrZn
1188,AsCaPSrZn
1189,AsCaSbSrZn
1190,AsCaSbSrZn
1191,AsCaSbSrZn
1192,AsCaSbSrZn
1193,AsCdEuPSr
1194,AsCdEuPSr
1195,AsCdEuPSr
1196,AsCdEuPSr
1197,AsCdEuPYb
1198,AsCdEuPYb
1199,AsCdEuPYb
1200,AsCdEuPYb
1201,AsCdEuSbSr
1202,AsCdEuSbSr
1203,AsCdEuSbSr
1204,AsCdEuSbSr
1205,AsCdEuSbYb
1206,AsCdEuSbYb
1207,AsCdEuSbYb
1208,AsCdEuSbYb
1209,AsCdPSrYb
1210,AsCdPSrYb
1211,AsCdPSrYb
1212,AsCdPSrYb
1213,AsCdSbSrYb
1214,AsCdSbSrYb
1215,AsCdSbSrYb
1216,AsCdSbSrYb
1217,AsCd2KP2Zn2
1218,AsCd2KP2Zn2
1219,AsKPRbZn2
1220,As2Cd2KPZn2
1221,As2Cd2KPZn2
1222,As2CsMgPZn3
1223,As2CsMg2PZn2
1224,As2CsMg2PZn2
1225,As2CsMg2PZn2
1226,As2CsMg3PZn
1227,As2HgKRbZn
1228,AuCdCuMg3Y3
1229,AuCdGd3In2Pt2
1230,AuCdGd3Mg2Pt2
1231,AuCdHg2Pr3Pt2
1232,AuCdIn2Pr3Pt2
1233,AuCdMg2Pr3Pt2
1234,AuCd2Gd3InPt2
1235,AuCd2Gd3MgPt2
1236,AuCd2HgLi2Mg2
1237,AuCd2HgMg2Sc2
1238,AuCd2HgPr3Pt2
1239,AuCd2Hg2MgSc2
1240,AuCd2Hg2MgY2
1241,AuCd2InPr3Pt2
1242,AuCd2MgPr3Pt2
1243,AuCd3Dy3GaIn
1244,AuCd3Er3GaIn
1245,AuCd3GaGd3Pt
1246,AuCd3GaInTb3
1247,AuCd3GaPr3Pt
1248,AuCd3GaPr3Rh
1249,AuCd3Ga2GdNd2
1250,AuCd3Ga2GdPr2
1251,AuCd3Ga2GdY2
1252,AuCd3Ga2Gd2Nd
1253,AuCd3Ga2Gd2Pr
1254,AuCd3Ga2Gd2Y
1255,AuCd3Ga2NdPr2
1256,AuCd3Ga2NdY2
1257,AuCd3Ga2Nd2Pr
1258,AuCd3Ga2Nd2Y
1259,AuCd3Ga2PrY2
1260,AuCd3Ga2Pr2Y
1261,AuCd3GdNd2Pt2
1262,AuCd3GdPr2Pt2
1263,AuCd3Gd2NdPt2
1264,AuCd3Gd2PrPt2
1265,AuCd3NdPr2Pt2
1266,AuCd3Nd2PrPt2
1267,AuCd3Pr3PtRh
1268,AuCuEr3IrZn3
1269,AuCuEr3NiZn3
1270,AuCuEr3PdZn3
1271,AuCuEr3RhZn3
1272,AuCuIrTm3Zn3
1273,AuCuMg2Sc2Zn2
1274,AuCuMg3Y3Zn
1275,AuCuNiTm3Zn3
1276,AuCuPtTm3Zn3
1277,AuCuRhTm3Zn3
1278,AuCu2Mg2Sc2Zn
1279,AuCu2PtTi2Zn2
1280,AuGaGd3Mg3Zn
1281,AuHfNi2Zn3Zr2
1282,AuHf2Ni2Zn3Zr
1283,AuIrMg3Tm3Zn
1284,AuIrNiZn3Zr3
1285,AuIrPdZn3Zr3
1286,AuIrPtZn3Zr3
1287,AuIrRhZn3Zr3
1288,AuLi2Mg2PdZn2
1289,AuLi2Mg2PtZn2
1290,AuLi2Mg2RhZn2
1291,AuMgPt2Tb3Zn2
1292,AuMg2PtSc2Zn2
1293,AuMg2Pt2Tb3Zn
1294,AuMg3PtTm3Zn
1295,AuNiPdZn3Zr3
1296,AuNiPtZn3Zr3
1297,AuNiRhZn3Zr3
1298,AuPdPtZn3Zr3
1299,AuPdRhZn3Zr3
1300,AuPtRhZn3Zr3
1301,Au2CdCuMg2Sc2
1302,Au2CdGaLi2Mg2
1303,Au2CdHg2PdPr3
1304,Au2CdInLi2Mg2
1305,Au2CdIn2PdPr3
1306,Au2CdLi2Mg2Zn
1307,Au2CdMg2Sc2Zn
1308,Au2Cd2HgMgSc2
1309,Au2Cd2HgPdPr3
1310,Au2Cd2Hg2LaLu
1311,Au2Cd2Hg2LaSc
1312,Au2Cd2Hg2LaY
1313,Au2Cd2Hg2ScY
1314,Au2Cd2InPdPr3
1315,Au2Cd2LiMg2Sc
1316,Au2CuErHf2Zn3
1317,Au2CuErHo2Zn3
1318,Au2CuErSc2Zn3
1319,Au2CuErTm2Zn3
1320,Au2CuEr2HfZn3
1321,Au2CuEr2HoZn3
1322,Au2CuEr2ScZn3
1323,Au2CuEr2TmZn3
1324,Au2CuHfHo2Zn3
1325,Au2CuHfSc2Zn3
1326,Au2CuHfTm2Zn3
1327,Au2CuHf2HoZn3
1328,Au2CuHf2ScZn3
1329,Au2CuHf2TmZn3
1330,Au2CuHoSc2Zn3
1331,Au2CuHoTm2Zn3
1332,Au2CuHo2ScZn3
1333,Au2CuHo2TmZn3
1334,Au2CuInTm3Zn2
1335,Au2CuIn2Tm3Zn
1336,Au2CuMg2Sc2Zn
1337,Au2CuScTm2Zn3
1338,Au2CuSc2TmZn3
1339,Au2DyEr2NiZn3
1340,Au2DyLa2Si4Zn2
1341,Au2DyLa2Si4Zn2
1342,Au2DyNd2Si4Zn2
1343,Au2DyNd2Si4Zn2
1344,Au2DyNiTb2Zn3
1345,Au2DyPr2Si4Zn2
1346,Au2DyPr2Si4Zn2
1347,Au2DySi4Sm2Zn2
1348,Au2DySi4Sm2Zn2
1349,Au2DySi4Tb2Zn2
1350,Au2DySi4Tb2Zn2
1351,Au2DySi4Y2Zn2
1352,Au2DySi4Y2Zn2
1353,Au2Dy2ErNiZn3
1354,Au2Dy2LaSi4Zn2
1355,Au2Dy2LaSi4Zn2
1356,Au2Dy2NdSi4Zn2
1357,Au2Dy2NdSi4Zn2
1358,Au2Dy2NiTbZn3
1359,Au2Dy2PrSi4Zn2
1360,Au2Dy2PrSi4Zn2
1361,Au2Dy2Si4SmZn2
1362,Au2Dy2Si4SmZn2
1363,Au2Dy2Si4TbZn2
1364,Au2Dy2Si4TbZn2
1365,Au2Dy2Si4YZn2
1366,Au2Dy2Si4YZn2
1367,Au2ErNiTb2Zn3
1368,Au2Er2NiTbZn3
1369,Au2GaLi2Mg2Zn
1370,Au2InLi2Mg2Zn
1371,Au2LaNd2Si4Zn2
1372,Au2LaNd2Si4Zn2
1373,Au2LaPr2Si4Zn2
1374,Au2LaPr2Si4Zn2
1375,Au2LaSi4Sm2Zn2
1376,Au2LaSi4Sm2Zn2
1377,Au2LaSi4Tb2Zn2
1378,Au2LaSi4Tb2Zn2
1379,Au2LaSi4Y2Zn2
1380,Au2LaSi4Y2Zn2
1381,Au2La2NdSi4Zn2
1382,Au2La2NdSi4Zn2
1383,Au2La2PrSi4Zn2
1384,Au2La2PrSi4Zn2
1385,Au2La2Si4SmZn2
1386,Au2La2Si4SmZn2
1387,Au2La2Si4TbZn2
1388,Au2La2Si4TbZn2
1389,Au2La2Si4YZn2
1390,Au2La2Si4YZn2
1391,Au2LiMg2ScZn2
1392,Au2NdPr2Si4Zn2
1393,Au2NdPr2Si4Zn2
1394,Au2NdSi4Sm2Zn2
1395,Au2NdSi4Sm2Zn2
1396,Au2NdSi4Tb2Zn2
1397,Au2NdSi4Tb2Zn2
1398,Au2NdSi4Y2Zn2
1399,Au2NdSi4Y2Zn2
1400,Au2Nd2PrSi4Zn2
1401,Au2Nd2PrSi4Zn2
1402,Au2Nd2Si4SmZn2
1403,Au2Nd2Si4SmZn2
1404,Au2Nd2Si4TbZn2
1405,Au2Nd2Si4TbZn2
1406,Au2Nd2Si4YZn2
1407,Au2PrSi4Sm2Zn2
1408,Au2PrSi4Sm2Zn2
1409,Au2PrSi4Tb2Zn2
1410,Au2PrSi4Tb2Zn2
1411,Au2Pr2Si4SmZn2
1412,Au2Pr2Si4SmZn2
1413,Au2Pr2Si4TbZn2
1414,Au2Pr2Si4TbZn2
1415,Au2Pr2Si4YZn2
1416,Au2Pr2Si4YZn2
1417,Au2Si4SmTb2Zn2
1418,Au2Si4SmTb2Zn2
1419,Au2Si4SmY2Zn2
1420,Au2Si4SmY2Zn2
1421,Au2Si4Sm2TbZn2
1422,Au2Si4Sm2TbZn2
1423,Au2Si4Sm2YZn2
1424,Au2Si4TbY2Zn2
1425,Au2Si4TbY2Zn2
1426,Au2Si4Tb2YZn2
1427,Au2Si4Tb2YZn2
1428,BaBiCaCdP
1429,BaBiCaCdP
1430,BaBiCaCdP
1431,BaBiCaCdP
1432,BaBiCdK2Sb
1433,BaBiCdK2Sb
1434,BaBiCdPSr
1435,BaBiCdPSr
1436,BaBiCdPSr
1437,BaBiCdPSr
1438,BaBiCdSbSr
1439,BaBiCdSbSr
1440,BaBiCdSbSr
1441,BaBiCdSbSr
1442,BaBi2CdCsK
1443,BaBi2CdCsK
1444,BaCdEuPSb
1445,BaCdEuPSb
1446,BaCdEuPSb
1447,BaCdEuPSb
1448,BaCdInPbPt
1449,BaCdInPbPt
1450,BaCdInPbPt
1451,BaCdInPbPt
1452,BaCdInPdSn
1453,BaCdInPdSn
1454,BaCdInPdSn
1455,BaCdInPdSn
1456,BaCdPSbSr
1457,BaCdPSbSr
1458,BaCdPSbSr
1459,BaCdPSbSr
1460,BaCdPSbYb
1461,BaCdPSbYb
1462,BaCdPSbYb
1463,BaCdPSbYb
1464,BaSiSnSrZn2
1465,BiCaCdPSr
1466,BiCaCdPSr
1467,BiCaCdPSr
1468,BiCaCdPSr
1469,BiCdK2SbSr
1470,BiCdK2SbSr
1471,BiKPRbZn2
1472,BrCdCsI3Rb
1473,BrCdCsI3Rb
1474,BrCdCsI3Rb
1475,BrCdCsI3Rb
1476,Br2CdCsI2Rb
1477,Br2CdCsI2Rb
1478,Br2CdCsI2Rb
1479,Br2CdCsI2Rb
1480,Br3CdCsIRb
1481,Br3CdCsIRb
1482,Br3CdCsIRb
1483,Br3CdCsIRb
1484,CCoDy2Si2W
1485,CCoDy2Si2W
1486,CCoDy2Si2W
1487,CCoEr2Si2W
1488,CCoEr2Si2W
1489,CCoEr2Si2W
1490,CCoGd2Si2W
1491,CCoGd2Si2W
1492,CCoHo2Si2W
1493,CCoHo2Si2W
1494,CCoSi2Tb2W
1495,CCoSi2Tb2W
1496,CCoSi2Tb2W
1497,CCoSi2Tm2W
1498,CCoSi2Tm2W
1499,CCoSi2Tm2W
1500,CCoSi2WY2
1501,CCoSi2WY2
1502,CCoSi2WY2
1503,CCrDy2Si2W
1504,CCrDy2Si2W
1505,CCrDy2Si2W
1506,CCrEr2Si2W
1507,CCrEr2Si2W
1508,CCrEr2Si2W
1509,CCrGd2Si2W
1510,CCrGd2Si2W
1511,CCrGd2Si2W
1512,CCrHo2Si2W
1513,CCrHo2Si2W
1514,CCrHo2Si2W
1515,CCrSi2Tb2W
1516,CCrSi2Tb2W
1517,CCrSi2Tb2W
1518,CCrSi2Tm2W
1519,CCrSi2Tm2W
1520,CCrSi2Tm2W
1521,CCrSi2WY2
1522,CCrSi2WY2
1523,CCrSi2WY2
1524,CDyErSi2W2
1525,CDyErSi2W2
1526,CDyErSi2W2
1527,CDyGdSi2W2
1528,CDyGdSi2W2
1529,CDyGdSi2W2
1530,CDyHoSi2W2
1531,CDyHoSi2W2
1532,CDyHoSi2W2
1533,CDyNdSi2W2
1534,CDyNdSi2W2
1535,CDyNdSi2W2
1536,CDySi2TbW2
1537,CDySi2TbW2
1538,CDySi2TbW2
1539,CDySi2TmW2
1540,CDySi2TmW2
1541,CDySi2TmW2
1542,CDySi2W2Y
1543,CDySi2W2Y
1544,CDySi2W2Y
1545,CDy2FeSi2W
1546,CDy2FeSi2W
1547,CDy2FeSi2W
1548,CDy2MnSi2W
1549,CDy2MnSi2W
1550,CDy2MnSi2W
1551,CDy2MoSi2W
1552,CDy2MoSi2W
1553,CDy2MoSi2W
1554,CErGdSi2W2
1555,CErGdSi2W2
1556,CErGdSi2W2
1557,CErHoSi2W2
1558,CErHoSi2W2
1559,CErHoSi2W2
1560,CErNdSi2W2
1561,CErNdSi2W2
1562,CErNdSi2W2
1563,CErSi2TbW2
1564,CErSi2TbW2
1565,CErSi2TbW2
1566,CErSi2TmW2
1567,CErSi2TmW2
1568,CErSi2TmW2
1569,CErSi2W2Y
1570,CErSi2W2Y
1571,CErSi2W2Y
1572,CEr2MnSi2W
1573,CEr2MnSi2W
1574,CEr2MnSi2W
1575,CEr2MoSi2W
1576,CEr2MoSi2W
1577,CEr2MoSi2W
1578,CFeGd2Si2W
1579,CFeGd2Si2W
1580,CFeGd2Si2W
1581,CFeNd2Si2W
1582,CFeNd2Si2W
1583,CFeNd2Si2W
1584,CFeSi2Tb2W
1585,CFeSi2Tb2W
1586,CFeSi2Tb2W
1587,CFeSi2Tm2W
1588,CFeSi2Tm2W
1589,CGdHoSi2W2
1590,CGdHoSi2W2
1591,CGdHoSi2W2
1592,CGdNdSi2W2
1593,CGdNdSi2W2
1594,CGdNdSi2W2
1595,CGdSi2TbW2
1596,CGdSi2TbW2
1597,CGdSi2TbW2
1598,CGdSi2TmW2
1599,CGdSi2TmW2
1600,CGdSi2TmW2
1601,CGdSi2W2Y
1602,CGdSi2W2Y
1603,CGdSi2W2Y
1604,CGd2MnSi2W
1605,CGd2MnSi2W
1606,CGd2MnSi2W
1607,CGd2MoSi2W
1608,CGd2MoSi2W
1609,CGd2MoSi2W
1610,CHoNdSi2W2
1611,CHoNdSi2W2
1612,CHoNdSi2W2
1613,CHoSi2TbW2
1614,CHoSi2TbW2
1615,CHoSi2TbW2
1616,CHoSi2TmW2
1617,CHoSi2TmW2
1618,CHoSi2TmW2
1619,CHoSi2W2Y
1620,CHoSi2W2Y
1621,CHoSi2W2Y
1622,CHo2MnSi2W
1623,CHo2MnSi2W
1624,CHo2MnSi2W
1625,CHo2MoSi2W
1626,CHo2MoSi2W
1627,CHo2MoSi2W
1628,CLaMoSi2W
1629,CMnNd2Si2W
1630,CMnNd2Si2W
1631,CMnNd2Si2W
1632,CMnSi2Tb2W
1633,CMnSi2Tb2W
1634,CMnSi2Tb2W
1635,CMnSi2Tm2W
1636,CMnSi2Tm2W
1637,CMnSi2Tm2W
1638,CMnSi2WY2
1639,CMnSi2WY2
1640,CMnSi2WY2
1641,CMoNd2Si2W
1642,CMoNd2Si2W
1643,CMoNd2Si2W
1644,CMoSi2Tb2W
1645,CMoSi2Tb2W
1646,CMoSi2Tb2W
1647,CMoSi2Tm2W
1648,CMoSi2Tm2W
1649,CMoSi2Tm2W
1650,CMoSi2WY2
1651,CMoSi2WY2
1652,CMoSi2WY2
