,chemical_formula_descriptive
2405,Na2 Sc2 Al2 I2 Br12
2406,Na2 Hf2 Cd2 I2 Br12
2407,Na2 Y2 Al2 I2 Br12
2408,Li2 Hf2 Cd2 I2 Br12
2409,K2 Hf2 Zn2 I2 Br12
2410,Na2 Sc2 Al2 I12 Br2
2411,Na2 Hf2 Zn2 I2 Br12
2412,K2 Hf2 Cd2 I2 Br12
2413,K2 Sc4 Cd2 I4 Br14
2414,Na2 Sc4 Cd2 I14 Br4
2415,K2 Y4 Cd2 I4 Br14
2416,Li2 Sc4 Cd2 I4 Br14
2417,K2 Y4 Zn2 I4 Br14
2418,Li2 Sc4 Zn2 I4 Br14
2419,Li4 Hf2 Al2 I4 Br14
2420,Li2 Y4 Cd2 I4 Br14
2421,Na2 Sc4 Zn2 I14 Br4
2422,Na2 Sc4 Cd2 I4 Br14
2423,K2 Sc4 Zn2 I14 Br4
2424,Li2 Y4 Zn2 I4 Br14
2425,K2 Sc4 Cd2 I14 Br4
2426,K2 Sc4 Zn2 I4 Br14
2427,Na2 Sc4 Zn2 I4 Br14
2428,Na2 Y4 Cd2 I4 Br14
2429,Li4 Y2 Al2 I2 Br14
2430,K2 Y4 Al2 P2 Br14
2431,K2 Sc2 Zn4 I14 Br2
2432,K2 Y2 Al4 P2 Br14
2433,Na2 Y4 Al2 P2 Br14
2434,Li2 Y2 Zn4 I2 Br14
2435,K2 Sc4 Al2 P2 Br14
2436,Li2 Sc2 Zn4 I2 Br14
2437,Li2 Sc4 Al2 P2 Br14
2438,Li2 Y4 Al2 P2 Br14
2439,Li4 Sc2 Al2 I2 Br14
2440,K2 Sc2 Cd4 I2 Br14
2441,K2 Sc2 Zn4 I2 Br14
2442,K2 Sc2 Al4 P2 Br14
2443,K2 Y2 Zn4 I2 Br14
2444,K2 Y2 Cd4 I2 Br14
2445,Dy5 Mg5 Al12 Fe4 Si6
2446,Gd5 Mg5 Al12 Fe4 Si6
2447,Y5 Mg5 Al12 Fe4 Si6
2448,Li2 Y2 Cd2 I2 Br10
2449,K2 Al2 Hg2 I2 Br10
2450,Na2 Sc2 Zn2 I10 Br2
2451,Na2 Sc2 Zn2 I2 Br10
2452,K2 Sc2 Zn2 I10 Br2
2453,Li2 Y2 Zn2 I2 Br10
2454,K2 Sc2 Cd2 I2 Br10
2455,K2 Y2 Cd2 I2 Br10
2456,K2 Y2 Zn2 I2 Br10
2457,Na2 Al2 Cd2 I2 Br10
2458,K2 Sc2 Zn2 I2 Br10
2459,K2 Sc2 Cd2 I10 Br2
2460,Li2 Al2 Hg2 I2 Br10
2461,Na2 Sc2 Cd2 I10 Br2
2462,K2 Al2 Zn2 I2 Br10
2463,K4 Hf4 Al4 P4 Br20
2464,K2 Al2 Cd2 I2 Br10
2465,Na2 Sc2 Cd2 I2 Br10
2466,Na2 Al2 Hg2 I2 Br10
2467,Na2 Al2 Zn2 I2 Br10
2468,Li2 Sc2 Cd2 I2 Br10
2469,Li2 Sc2 Zn2 I2 Br10
2470,Na4 Hf4 Al4 P4 Br20
2471,K2 La2 Al4 I4 Br16
2472,K2 Y2 Al4 I4 Br16
2473,K4 Sc4 Al2 P2 Br16
2474,K2 Y1 Al2 P1 Br8
2475,K4 Y4 Al2 P2 Br16
2476,K4 Sc2 Zn4 I16 Br2
2477,Na2 Sc4 Al2 I16 Br4
2478,Li2 Y2 Al4 I4 Br16
2479,K2 Y1 Zn2 I1 Br8
2480,Na2 Y2 Al4 I4 Br16
2481,Li4 Sc4 Al2 P2 Br16
2482,K2 Sc4 Al2 I4 Br16
2483,Li2 Sc2 Al4 I4 Br16
2484,K2 Sc1 Zn2 I1 Br8
2485,Li2 Y4 Al2 I4 Br16
2486,Li4 Y4 Al2 P2 Br16
2487,Na2 La2 Al4 I4 Br16
2488,K4 Y2 Cd4 I2 Br16
2489,K2 Sc4 Al2 I16 Br4
2490,Na2 Sc4 Al2 I4 Br16
2491,K2 Al4 Hg4 P2 Br16
2492,Na2 Sc2 Al4 I4 Br16
2493,Na2 Y4 Al2 I4 Br16
2494,K2 Sc2 Al4 I4 Br16
2495,Li2 Sc4 Al2 I4 Br16
2496,K2 Y4 Al2 I4 Br16
2497,Li4 Sc2 Zn4 I2 Br16
2498,Li2 La2 Al4 I4 Br16
2499,K2 Sc4 Al2 I8 Br12
2500,K2 Sc2 Al2 I4 Br10
2501,Li2 Sc2 Al2 I4 Br10
2502,K2 Sc2 Zn2 I6 Br6
2503,K2 Sc2 Cd2 I6 Br6
2504,Li4 Sc4 Zn4 I8 Br16
2505,Na4 Sc4 Zn4 I8 Br16
2506,Na4 Al4 Cd4 I8 Br16
2507,K2 Sc2 Cd2 I8 Br4
2508,K4 Y4 Cd4 I8 Br16
2509,Li4 Sc4 Cd4 I8 Br16
2510,Na4 Sc4 Cd4 I8 Br16
2511,K4 Sc4 Zn4 I8 Br16
2512,K4 Al4 Hg4 I8 Br16
2513,K4 Sc4 Zn4 I16 Br8
2514,K4 Y4 Zn4 I8 Br16
2515,K4 Sc4 Cd4 I8 Br16
2516,K4 Al4 Cd4 I8 Br16
2517,K4 Y4 Al4 P4 Br16
2518,Li4 Sc4 Al4 P4 Br16
2519,Li4 Y4 Al4 P4 Br16
2520,K4 Sc4 Al4 P4 Br16
2521,Li2 Y2 Al2 I2 Br12
2522,Li2 Hf2 Zn2 I2 Br12
2523,Li2 Sc2 Al2 I2 Br12
2524,K2 Y2 Al2 I2 Br12
2525,Na2 Sc2 Al2 I2 Br12
2526,Na2 Hf2 Cd2 I2 Br12
2527,Na2 Y2 Al2 I2 Br12
2528,Li2 Hf2 Cd2 I2 Br12
2529,K2 Hf2 Zn2 I2 Br12
2530,Na2 Sc2 Al2 I12 Br2
2531,Na2 Hf2 Zn2 I2 Br12
2532,K2 Hf2 Cd2 I2 Br12
2533,K2 Sc4 Cd2 I4 Br14
2534,Na2 Sc4 Cd2 I14 Br4
2535,K2 Y4 Cd2 I4 Br14
2536,Li2 Sc4 Cd2 I4 Br14
2537,K2 Y4 Zn2 I4 Br14
2538,Li2 Sc4 Zn2 I4 Br14
2539,Li4 Hf2 Al2 I4 Br14
2540,Li2 Y4 Cd2 I4 Br14
2541,Na2 Sc4 Zn2 I14 Br4
2542,Na2 Sc4 Cd2 I4 Br14
2543,K2 Sc4 Zn2 I14 Br4
2544,Li2 Y4 Zn2 I4 Br14
2545,K2 Sc4 Cd2 I14 Br4
2546,K2 Sc4 Zn2 I4 Br14
2547,Na2 Sc4 Zn2 I4 Br14
2548,Na2 Y4 Cd2 I4 Br14
2549,Li4 Y2 Al2 I2 Br14
2550,K2 Y4 Al2 P2 Br14
2551,K2 Sc2 Zn4 I14 Br2
2552,K2 Y2 Al4 P2 Br14
2553,Na2 Y4 Al2 P2 Br14
2554,Li2 Y2 Zn4 I2 Br14
2555,K2 Sc4 Al2 P2 Br14
2556,Li2 Sc2 Zn4 I2 Br14
2557,Li2 Sc4 Al2 P2 Br14
2558,Li2 Y4 Al2 P2 Br14
2559,Li4 Sc2 Al2 I2 Br14
2560,K2 Sc2 Cd4 I2 Br14
2561,K2 Sc2 Zn4 I2 Br14
2562,K2 Sc2 Al4 P2 Br14
2563,K2 Y2 Zn4 I2 Br14
2564,K2 Y2 Cd4 I2 Br14
2565,Dy5 Mg5 Al12 Fe4 Si6
2566,Gd5 Mg5 Al12 Fe4 Si6
2567,Y5 Mg5 Al12 Fe4 Si6
2568,Li2 Y2 Cd2 I2 Br10
2569,K2 Al2 Hg2 I2 Br10
2570,Na2 Sc2 Zn2 I10 Br2
2571,Na2 Sc2 Zn2 I2 Br10
2572,K2 Sc2 Zn2 I10 Br2
2573,Li2 Y2 Zn2 I2 Br10
2574,K2 Sc2 Cd2 I2 Br10
2575,K2 Y2 Cd2 I2 Br10
2576,K2 Y2 Zn2 I2 Br10
2577,Na2 Al2 Cd2 I2 Br10
2578,K2 Sc2 Zn2 I2 Br10
2579,K2 Sc2 Cd2 I10 Br2
2580,Li2 Al2 Hg2 I2 Br10
2581,Na2 Sc2 Cd2 I10 Br2
2582,K2 Al2 Zn2 I2 Br10
2583,K4 Hf4 Al4 P4 Br20
2584,K2 Al2 Cd2 I2 Br10
2585,Na2 Sc2 Cd2 I2 Br10
2586,Na2 Al2 Hg2 I2 Br10
2587,Na2 Al2 Zn2 I2 Br10
2588,Li2 Sc2 Cd2 I2 Br10
2589,Li2 Sc2 Zn2 I2 Br10
2590,Na4 Hf4 Al4 P4 Br20
2591,K2 La2 Al4 I4 Br16
2592,K2 Y2 Al4 I4 Br16
2593,K4 Sc4 Al2 P2 Br16
2594,K2 Y1 Al2 P1 Br8
2595,K4 Y4 Al2 P2 Br16
2596,K4 Sc2 Zn4 I16 Br2
2597,Na2 Sc4 Al2 I16 Br4
2598,Li2 Y2 Al4 I4 Br16
2599,K2 Y1 Zn2 I1 Br8
2600,Na2 Y2 Al4 I4 Br16
2601,Li4 Sc4 Al2 P2 Br16
2602,K2 Sc4 Al2 I4 Br16
2603,Li2 Sc2 Al4 I4 Br16
2604,K2 Sc1 Zn2 I1 Br8
2605,Li2 Y4 Al2 I4 Br16
2606,Li4 Y4 Al2 P2 Br16
2607,Na2 La2 Al4 I4 Br16
2608,K4 Y2 Cd4 I2 Br16
2609,K2 Sc4 Al2 I16 Br4
2610,Na2 Sc4 Al2 I4 Br16
2611,K2 Al4 Hg4 P2 Br16
2612,Na2 Sc2 Al4 I4 Br16
2613,Na2 Y4 Al2 I4 Br16
2614,K2 Sc2 Al4 I4 Br16
2615,Li2 Sc4 Al2 I4 Br16
2616,K2 Y4 Al2 I4 Br16
2617,Li4 Sc2 Zn4 I2 Br16
2618,Li2 La2 Al4 I4 Br16
2619,K2 Sc4 Al2 I8 Br12
2620,K2 Sc2 Al2 I4 Br10
2621,Li2 Sc2 Al2 I4 Br10
2622,K2 Sc2 Zn2 I6 Br6
2623,K2 Sc2 Cd2 I6 Br6
2624,Li4 Sc4 Zn4 I8 Br16
2625,Na4 Sc4 Zn4 I8 Br16
2626,Na4 Al4 Cd4 I8 Br16
2627,K2 Sc2 Cd2 I8 Br4
2628,K4 Y4 Cd4 I8 Br16
2629,Li4 Sc4 Cd4 I8 Br16
2630,Na4 Sc4 Cd4 I8 Br16
2631,K4 Sc4 Zn4 I8 Br16
2632,K4 Al4 Hg4 I8 Br16
2633,K4 Sc4 Zn4 I16 Br8
2634,K4 Y4 Zn4 I8 Br16
2635,K4 Sc4 Cd4 I8 Br16
2636,K4 Al4 Cd4 I8 Br16
2637,K4 Y4 Al4 P4 Br16
2638,Li4 Sc4 Al4 P4 Br16
2639,Li4 Y4 Al4 P4 Br16
2640,K4 Sc4 Al4 P4 Br16
2641,Li2 Y2 Al2 I2 Br12
2642,Li2 Hf2 Zn2 I2 Br12
2643,Li2 Sc2 Al2 I2 Br12
2644,K2 Y2 Al2 I2 Br12
2645,Na2 Sc2 Al2 I2 Br12
2646,Na2 Hf2 Cd2 I2 Br12
2647,Na2 Y2 Al2 I2 Br12
2648,Li2 Hf2 Cd2 I2 Br12
2649,K2 Hf2 Zn2 I2 Br12
2650,Na2 Sc2 Al2 I12 Br2
2651,Na2 Hf2 Zn2 I2 Br12
2652,K2 Hf2 Cd2 I2 Br12
2653,K2 Sc4 Cd2 I4 Br14
2654,Na2 Sc4 Cd2 I14 Br4
2655,K2 Y4 Cd2 I4 Br14
2656,Li2 Sc4 Cd2 I4 Br14
2657,K2 Y4 Zn2 I4 Br14
2658,Li2 Sc4 Zn2 I4 Br14
2659,Li4 Hf2 Al2 I4 Br14
2660,Li2 Y4 Cd2 I4 Br14
2661,Na2 Sc4 Zn2 I14 Br4
2662,Na2 Sc4 Cd2 I4 Br14
2663,K2 Sc4 Zn2 I14 Br4
2664,Li2 Y4 Zn2 I4 Br14
2665,K2 Sc4 Cd2 I14 Br4
2666,K2 Sc4 Zn2 I4 Br14
2667,Na2 Sc4 Zn2 I4 Br14
2668,Na2 Y4 Cd2 I4 Br14
2669,Li4 Y2 Al2 I2 Br14
2670,K2 Y4 Al2 P2 Br14
2671,K2 Sc2 Zn4 I14 Br2
2672,K2 Y2 Al4 P2 Br14
2673,Na2 Y4 Al2 P2 Br14
2674,Li2 Y2 Zn4 I2 Br14
2675,K2 Sc4 Al2 P2 Br14
2676,Li2 Sc2 Zn4 I2 Br14
2677,Li2 Sc4 Al2 P2 Br14
2678,Li2 Y4 Al2 P2 Br14
2679,Li4 Sc2 Al2 I2 Br14
2680,K2 Sc2 Cd4 I2 Br14
2681,K2 Sc2 Zn4 I2 Br14
2682,K2 Sc2 Al4 P2 Br14
2683,K2 Y2 Zn4 I2 Br14
2684,K2 Y2 Cd4 I2 Br14
2685,Dy5 Mg5 Al12 Fe4 Si6
2686,Gd5 Mg5 Al12 Fe4 Si6
2687,Y5 Mg5 Al12 Fe4 Si6
2688,Li2 Y2 Cd2 I2 Br10
2689,K2 Al2 Hg2 I2 Br10
2690,Na2 Sc2 Zn2 I10 Br2
2691,Na2 Sc2 Zn2 I2 Br10
2692,K2 Sc2 Zn2 I10 Br2
2693,Li2 Y2 Zn2 I2 Br10
2694,K2 Sc2 Cd2 I2 Br10
2695,K2 Y2 Cd2 I2 Br10
2696,K2 Y2 Zn2 I2 Br10
2697,Na2 Al2 Cd2 I2 Br10
2698,K2 Sc2 Zn2 I2 Br10
2699,K2 Sc2 Cd2 I10 Br2
2700,Li2 Al2 Hg2 I2 Br10
2701,Na2 Sc2 Cd2 I10 Br2
2702,K2 Al2 Zn2 I2 Br10
2703,K4 Hf4 Al4 P4 Br20
2704,K2 Al2 Cd2 I2 Br10
2705,Na2 Sc2 Cd2 I2 Br10
2706,Na2 Al2 Hg2 I2 Br10
2707,Na2 Al2 Zn2 I2 Br10
2708,Li2 Sc2 Cd2 I2 Br10
2709,Li2 Sc2 Zn2 I2 Br10
2710,Na4 Hf4 Al4 P4 Br20
2711,K2 La2 Al4 I4 Br16
2712,K2 Y2 Al4 I4 Br16
2713,K4 Sc4 Al2 P2 Br16
2714,K2 Y1 Al2 P1 Br8
2715,K4 Y4 Al2 P2 Br16
2716,K4 Sc2 Zn4 I16 Br2
2717,Na2 Sc4 Al2 I16 Br4
2718,Li2 Y2 Al4 I4 Br16
2719,K2 Y1 Zn2 I1 Br8
2720,Na2 Y2 Al4 I4 Br16
2721,Li4 Sc4 Al2 P2 Br16
2722,K2 Sc4 Al2 I4 Br16
2723,Li2 Sc2 Al4 I4 Br16
2724,K2 Sc1 Zn2 I1 Br8
2725,Li2 Y4 Al2 I4 Br16
2726,Li4 Y4 Al2 P2 Br16
2727,Na2 La2 Al4 I4 Br16
2728,K4 Y2 Cd4 I2 Br16
2729,K2 Sc4 Al2 I16 Br4
2730,Na2 Sc4 Al2 I4 Br16
2731,K2 Al4 Hg4 P2 Br16
2732,Na2 Sc2 Al4 I4 Br16
2733,Na2 Y4 Al2 I4 Br16
2734,K2 Sc2 Al4 I4 Br16
2735,Li2 Sc4 Al2 I4 Br16
2736,K2 Y4 Al2 I4 Br16
2737,Li4 Sc2 Zn4 I2 Br16
2738,Li2 La2 Al4 I4 Br16
2739,K2 Sc4 Al2 I8 Br12
2740,K2 Sc2 Al2 I4 Br10
2741,Li2 Sc2 Al2 I4 Br10
2742,K2 Sc2 Zn2 I6 Br6
2743,K2 Sc2 Cd2 I6 Br6
2744,Li4 Sc4 Zn4 I8 Br16
2745,Na4 Sc4 Zn4 I8 Br16
2746,Na4 Al4 Cd4 I8 Br16
2747,K2 Sc2 Cd2 I8 Br4
2748,K4 Y4 Cd4 I8 Br16
2749,Li4 Sc4 Cd4 I8 Br16
2750,Na4 Sc4 Cd4 I8 Br16
2751,K4 Sc4 Zn4 I8 Br16
2752,K4 Al4 Hg4 I8 Br16
2753,K4 Sc4 Zn4 I16 Br8
2754,K4 Y4 Zn4 I8 Br16
2755,K4 Sc4 Cd4 I8 Br16
2756,K4 Al4 Cd4 I8 Br16
2757,K4 Y4 Al4 P4 Br16
2758,Li4 Sc4 Al4 P4 Br16
2759,Li4 Y4 Al4 P4 Br16
2760,K4 Sc4 Al4 P4 Br16
2761,Li2 Y2 Al2 I2 Br12
2762,Li2 Hf2 Zn2 I2 Br12
2763,Li2 Sc2 Al2 I2 Br12
2764,K2 Y2 Al2 I2 Br12
2765,Na2 Sc2 Al2 I2 Br12
2766,Na2 Hf2 Cd2 I2 Br12
2767,Na2 Y2 Al2 I2 Br12
2768,Li2 Hf2 Cd2 I2 Br12
2769,K2 Hf2 Zn2 I2 Br12
2770,Na2 Sc2 Al2 I12 Br2
2771,Na2 Hf2 Zn2 I2 Br12
2772,K2 Hf2 Cd2 I2 Br12
2773,K2 Sc4 Cd2 I4 Br14
2774,Na2 Sc4 Cd2 I14 Br4
2775,K2 Y4 Cd2 I4 Br14
2776,Li2 Sc4 Cd2 I4 Br14
2777,K2 Y4 Zn2 I4 Br14
2778,Li2 Sc4 Zn2 I4 Br14
2779,Li4 Hf2 Al2 I4 Br14
2780,Li2 Y4 Cd2 I4 Br14
2781,Na2 Sc4 Zn2 I14 Br4
2782,Na2 Sc4 Cd2 I4 Br14
2783,K2 Sc4 Zn2 I14 Br4
2784,Li2 Y4 Zn2 I4 Br14
2785,K2 Sc4 Cd2 I14 Br4
2786,K2 Sc4 Zn2 I4 Br14
2787,Na2 Sc4 Zn2 I4 Br14
2788,Na2 Y4 Cd2 I4 Br14
2789,Li4 Y2 Al2 I2 Br14
2790,K2 Y4 Al2 P2 Br14
2791,K2 Sc2 Zn4 I14 Br2
2792,K2 Y2 Al4 P2 Br14
2793,Na2 Y4 Al2 P2 Br14
2794,Li2 Y2 Zn4 I2 Br14
2795,K2 Sc4 Al2 P2 Br14
2796,Li2 Sc2 Zn4 I2 Br14
2797,Li2 Sc4 Al2 P2 Br14
2798,Li2 Y4 Al2 P2 Br14
2799,Li4 Sc2 Al2 I2 Br14
2800,K2 Sc2 Cd4 I2 Br14
2801,K2 Sc2 Zn4 I2 Br14
2802,K2 Sc2 Al4 P2 Br14
2803,K2 Y2 Zn4 I2 Br14
2804,K2 Y2 Cd4 I2 Br14
2805,Dy5 Mg5 Al12 Fe4 Si6
2806,Gd5 Mg5 Al12 Fe4 Si6
2807,Y5 Mg5 Al12 Fe4 Si6
2808,Li2 Y2 Cd2 I2 Br10
2809,K2 Al2 Hg2 I2 Br10
2810,Na2 Sc2 Zn2 I10 Br2
2811,Na2 Sc2 Zn2 I2 Br10
2812,K2 Sc2 Zn2 I10 Br2
2813,Li2 Y2 Zn2 I2 Br10
2814,K2 Sc2 Cd2 I2 Br10
2815,K2 Y2 Cd2 I2 Br10
2816,K2 Y2 Zn2 I2 Br10
2817,Na2 Al2 Cd2 I2 Br10
2818,K2 Sc2 Zn2 I2 Br10
2819,K2 Sc2 Cd2 I10 Br2
2820,Li2 Al2 Hg2 I2 Br10
2821,Na2 Sc2 Cd2 I10 Br2
2822,K2 Al2 Zn2 I2 Br10
2823,K4 Hf4 Al4 P4 Br20
2824,K2 Al2 Cd2 I2 Br10
2825,Na2 Sc2 Cd2 I2 Br10
2826,Na2 Al2 Hg2 I2 Br10
2827,Na2 Al2 Zn2 I2 Br10
2828,Li2 Sc2 Cd2 I2 Br10
2829,Li2 Sc2 Zn2 I2 Br10
2830,Na4 Hf4 Al4 P4 Br20
2831,K2 La2 Al4 I4 Br16
2832,K2 Y2 Al4 I4 Br16
2833,K4 Sc4 Al2 P2 Br16
2834,K2 Y1 Al2 P1 Br8
2835,K4 Y4 Al2 P2 Br16
2836,K4 Sc2 Zn4 I16 Br2
2837,Na2 Sc4 Al2 I16 Br4
2838,Li2 Y2 Al4 I4 Br16
2839,K2 Y1 Zn2 I1 Br8
2840,Na2 Y2 Al4 I4 Br16
2841,Li4 Sc4 Al2 P2 Br16
2842,K2 Sc4 Al2 I4 Br16
2843,Li2 Sc2 Al4 I4 Br16
2844,K2 Sc1 Zn2 I1 Br8
2845,Li2 Y4 Al2 I4 Br16
2846,Li4 Y4 Al2 P2 Br16
2847,Na2 La2 Al4 I4 Br16
2848,K4 Y2 Cd4 I2 Br16
2849,K2 Sc4 Al2 I16 Br4
2850,Na2 Sc4 Al2 I4 Br16
2851,K2 Al4 Hg4 P2 Br16
2852,Na2 Sc2 Al4 I4 Br16
2853,Na2 Y4 Al2 I4 Br16
2854,K2 Sc2 Al4 I4 Br16
2855,Li2 Sc4 Al2 I4 Br16
2856,K2 Y4 Al2 I4 Br16
2857,Li4 Sc2 Zn4 I2 Br16
2858,Li2 La2 Al4 I4 Br16
2859,K2 Sc4 Al2 I8 Br12
2860,K2 Sc2 Al2 I4 Br10
2861,Li2 Sc2 Al2 I4 Br10
2862,K2 Sc2 Zn2 I6 Br6
2863,K2 Sc2 Cd2 I6 Br6
2864,Li4 Sc4 Zn4 I8 Br16
2865,Na4 Sc4 Zn4 I8 Br16
2866,Na4 Al4 Cd4 I8 Br16
2867,K2 Sc2 Cd2 I8 Br4
2868,K4 Y4 Cd4 I8 Br16
2869,Li4 Sc4 Cd4 I8 Br16
2870,Na4 Sc4 Cd4 I8 Br16
2871,K4 Sc4 Zn4 I8 Br16
2872,K4 Al4 Hg4 I8 Br16
2873,K4 Sc4 Zn4 I16 Br8
2874,K4 Y4 Zn4 I8 Br16
2875,K4 Sc4 Cd4 I8 Br16
2876,K4 Al4 Cd4 I8 Br16
2877,K4 Y4 Al4 P4 Br16
2878,Li4 Sc4 Al4 P4 Br16
2879,Li4 Y4 Al4 P4 Br16
2880,K4 Sc4 Al4 P4 Br16
2881,Li2 Y2 Al2 I2 Br12
2882,Li2 Hf2 Zn2 I2 Br12
2883,Li2 Sc2 Al2 I2 Br12
2884,K2 Y2 Al2 I2 Br12
2885,Na2 Sc2 Al2 I2 Br12
2886,Na2 Hf2 Cd2 I2 Br12
2887,Na2 Y2 Al2 I2 Br12
2888,Li2 Hf2 Cd2 I2 Br12
2889,K2 Hf2 Zn2 I2 Br12
2890,Na2 Sc2 Al2 I12 Br2
2891,Na2 Hf2 Zn2 I2 Br12
2892,K2 Hf2 Cd2 I2 Br12
2893,K2 Sc4 Cd2 I4 Br14
2894,Na2 Sc4 Cd2 I14 Br4
2895,K2 Y4 Cd2 I4 Br14
2896,Li2 Sc4 Cd2 I4 Br14
2897,K2 Y4 Zn2 I4 Br14
2898,Li2 Sc4 Zn2 I4 Br14
2899,Li4 Hf2 Al2 I4 Br14
2900,Li2 Y4 Cd2 I4 Br14
2901,Na2 Sc4 Zn2 I14 Br4
2902,Na2 Sc4 Cd2 I4 Br14
2903,K2 Sc4 Zn2 I14 Br4
2904,Li2 Y4 Zn2 I4 Br14
2905,K2 Sc4 Cd2 I14 Br4
2906,K2 Sc4 Zn2 I4 Br14
2907,Na2 Sc4 Zn2 I4 Br14
2908,Na2 Y4 Cd2 I4 Br14
2909,Li4 Y2 Al2 I2 Br14
2910,K2 Y4 Al2 P2 Br14
2911,K2 Sc2 Zn4 I14 Br2
2912,K2 Y2 Al4 P2 Br14
2913,Na2 Y4 Al2 P2 Br14
2914,Li2 Y2 Zn4 I2 Br14
2915,K2 Sc4 Al2 P2 Br14
2916,Li2 Sc2 Zn4 I2 Br14
2917,Li2 Sc4 Al2 P2 Br14
2918,Li2 Y4 Al2 P2 Br14
2919,Li4 Sc2 Al2 I2 Br14
2920,K2 Sc2 Cd4 I2 Br14
2921,K2 Sc2 Zn4 I2 Br14
2922,K2 Sc2 Al4 P2 Br14
2923,K2 Y2 Zn4 I2 Br14
2924,K2 Y2 Cd4 I2 Br14
2925,Dy5 Mg5 Al12 Fe4 Si6
2926,Gd5 Mg5 Al12 Fe4 Si6
2927,Y5 Mg5 Al12 Fe4 Si6
2928,Al12Dy5Fe4Mg5Si6
2929,Al12Dy5Fe4Mg5Si6
2930,Al12Dy5Fe4Mg5Si6
2931,Al12Dy5Fe4Mg5Si6
2932,Al12Fe4Gd5Mg5Si6
2933,Al12Fe4Gd5Mg5Si6
2934,Al12Fe4Gd5Mg5Si6
2935,Al12Fe4Mg5Si6Y5
2936,Al12Fe4Mg5Si6Y5
2937,Al12Fe4Mg5Si6Y5
2938,Al12Fe4Mg5Si6Y5
2939,Al2As2Br2Li30Se22
2940,Al2As2Br2Li34Se22
2941,Al2As2Br4Li28Se20
2942,Al2As2Br4Li32Se20
2943,Al2As2Br6Li26Se18
2944,Al2As2Br6Li30Se18
2945,Al2As2Br8Li24Se16
2946,Al2As2Br8Li28Se16
2947,Al2As2I2Li30Se22
2948,Al2As2I2Li34Se22
2949,Al2As2I4Li28Se20
2950,Al2As2I4Li32Se20
2951,Al2As2I6Li26Se18
2952,Al2As2I6Li30Se18
2953,Al2As2I8Li24Se16
2954,Al2As2I8Li28Se16
2955,Al2Br2Ga2Li34Se22
2956,Al2Br2Ge2Li34Se22
2957,Al2Br2Li30P2Se22
2958,Al2Br2Li34P2Se22
2959,Al2Br4Ga2Li32Se20
2960,Al2Br4Ge2Li32Se20
2961,Al2Br4Li28P2Se20
2962,Al2Br4Li32P2Se20
2963,Al2Br6Ga2Li30Se18
2964,Al2Br6Ge2Li30Se18
2965,Al2Br6Li26P2Se18
2966,Al2Br6Li30P2Se18
2967,Al2Br8Ga2Li28Se16
2968,Al2Br8Ge2Li28Se16
2969,Al2Br8Li24P2Se16
2970,Al2Br8Li28P2Se16
2971,CAl2Fe13Mn2Sm2
2972,Al2Ga2I2Li34Se22
2973,Al2Ga2I4Li32Se20
2974,Al2Ga2I6Li30Se18
2975,Al2Ga2I8Li28Se16
2976,Al2Ge2I2Li34Se22
2977,Al2Ge2I4Li32Se20
2978,Al2Ge2I6Li30Se18
2979,Al2Ge2I8Li28Se16
2980,Al2I2Li30P2Se22
2981,Al2I2Li34P2Se22
2982,Al2I4Li28P2Se20
2983,Al2I4Li32P2Se20
2984,Al2I6Li26P2Se18
2985,Al2I6Li30P2Se18
2986,Al2I8Li24P2Se16
2987,Al2I8Li28P2Se16
2988,Al3La6Ni4RuSn
2989,Al3La6Ni4RuSn
2990,C5CrHfMoTiW
2991,C5CrHfMoTiW
2992,C5CrHfMoTiW
2993,C5CrHfMoTiW
2994,C5CrHfMoTiW
2995,C5CrHfMoTiW
2996,C5CrHfMoTiW
2997,C5CrHfMoTiW
2998,C5CrHfMoTiW
2999,C5CrHfMoTiW
3000,C5CrHfMoTiW
3001,C5CrHfMoTiW
3002,C5CrHfMoTiW
3003,C5CrHfMoTiW
3004,C5CrHfMoTiW
3005,C5CrHfMoTiW
3006,C5CrHfMoTiW
3007,C5CrHfMoTiW
3008,C5CrHfMoTiW
3009,C5CrHfMoTiW
3010,C5CrHfMoTiW
3011,C5CrHfMoTiW
3012,C5CrHfMoTiW
3013,C5CrHfMoTiW
